deviceid,interfaceindex,recordtime,avgdiscards_percent,avgerrors_percent,avgintraffic_bps,avgouttraffic_bps,count,maxdiscards_percent,maxerrors_percent,maxintraffic_bps,maxouttraffic_bps,mindiscards_percent,minerrors_percent,minintraffic_bps,minouttraffic_bps,sumdiscards_percent,sumerrors_percent,sumintraffic_bps,sumouttraffic_bps
1,1,2024-12-18 11:00:00.000+0000,0.01,0,68710320,3392095233.5,42,0.01,0,68719455,3459022283,0.01,0,68701185,3326458822,0.36,0,2473571520,122115428406
1,1,2024-12-18 15:00:00.000+0000,0.01,0,68833773,4163375808.81395,43,0.01,0,68844735,4244777215,0.01,0,68822811,4082438803,0.43,0,2959852239,179025159779
1,1,2024-12-19 10:00:00.000+0000,0.02,0,69428070,1305010716.17391,46,0.02,0,69439815,1371842778,0.02,0,69416325,1245099080,0.92,0,3193691220,60030492944
1,1,2024-12-19 11:00:00.000+0000,0.02,0,69455997,1488077841.83051,59,0.02,0,69471135,1597534778,0.02,0,69440859,1379134034,1.18,0,4097903823,87796592668
1,1,2024-12-19 13:00:00.000+0000,0.01,0,69519557.7931034,1969165838.08621,58,0.01,0,69537138,2071580320,0.01,0,69503499,1852514768,0.58,0,4032134352,114211618609
1,1,2024-12-19 17:00:00.000+0000,0.01,0,69657198,2939936789.42857,21,0.01,0,69662418,2968282006,0.01,0,69651978,2909755858,0.21,0,1462801158,61738672578
1,1,2024-12-19 18:00:00.000+0000,0.01,0,69678600,3049378903.28814,59,0.01,0,69693738,3121003810,0.01,0,69663462,2973270698,0.59,0,4111037400,179913355294
1,1,2024-12-23 10:00:00.000+0000,0.01,0,72435282,3168005789.10526,57,0.01,0,72449898,3238570825,0.01,0,72420666,3113991774,0.57,0,4128811074,180576329979
1,1,2024-12-23 11:00:00.000+0000,0.01,0,72460410,3308155496.65517,29,0.01,0,72481218,3449847184,0.01,0,72450942,3245141185,0.29,0,2101351890,95936509403
1,1,2024-12-23 12:00:00.000+0000,0.01,0,72494700.8780488,3544384711.70732,41,0.01,0,72512016,3663589487,0.01,0,72482262,3457373273,0.41,0,2972282736,145319773180
1,1,2024-12-23 14:00:00.000+0000,0.01,0,72567070.4810127,3994493699.25317,79,0.01,0,72575178,4045838462,0.01,0,72564216,3978067648,0.79,0,5732798568,315565002241
1,1,2024-12-23 15:00:00.000+0000,0.01,0,72591686.25,4149856325.96429,56,0.01,0,72606498,4239440828,0.01,0,72576222,4053094122,0.56,0,4065134430,232391954254
1,1,2024-12-23 18:00:00.000+0000,0.06,0,72696021,334766585.611111,18,0.06,0,72700458,348790388,0.06,0,72691584,321004932,1.08,0,1308528378,6025798541
1,1,2024-12-24 10:00:00.000+0000,0.02,0,73189833,1020044985.34783,46,0.02,0,73201578,1074570474,0.02,0,73178088,973951442,0.92,0,3366732318,46922069326
1,1,2024-12-24 11:00:00.000+0000,0.02,0,73217760,1170371330.9322,59,0.02,0,73232898,1259222316,0.02,0,73202622,1080909071,1.18,0,4319847840,69051908525
1,2,2024-12-18 11:00:00.000+0000,0.02,0,159805918,2255977213.38095,42,0.02,0,159816619,2332540807,0.02,0,159795217,2180689046,0.84,0,6711848556,94751042962
1,2,2024-12-18 15:00:00.000+0000,0.02,0,159930937,3031983469.25581,43,0.02,0,159941899,3112618412,0.02,0,159919975,2951320432,0.86,0,6877030291,130375289178
1,2,2024-12-19 10:00:00.000+0000,0.1265217391304,0,160525234,299512611.065217,46,0.15,0,160536979,367987226,0.11,0,160513489,237475394,5.82,0,7384160764,13777580109
1,2,2024-12-19 11:00:00.000+0000,0.0908474576271,0,160553161,486103836.830509,59,0.11,0,160568299,597289302,0.08,0,160538023,375451112,5.36,0,9472636499,28680126373
1,2,2024-12-19 13:00:00.000+0000,0.0515517241379,0,160616243.862069,976625295.810345,58,0.06,0,160631992,1082189746,0.05,0,160600663,857531524,2.99,0,9315742144,56644267157
1,2,2024-12-19 17:00:00.000+0000,0.03,0,160752052,1960981691.52381,21,0.03,0,160757272,1989987541,0.03,0,160746832,1929873274,0.63,0,3375793092,41180615522
1,2,2024-12-19 18:00:00.000+0000,0.03,0,160773454,2072798830.81356,59,0.03,0,160788592,2146638725,0.03,0,160758316,1995121631,1.77,0,9485633786,122295131018
1,2,2024-12-23 10:00:00.000+0000,0.02,0,163529875,2868753769.36842,57,0.02,0,163544491,2941560809,0.02,0,163515259,2811402053,1.14,0,9321202875,163518964854
1,2,2024-12-23 11:00:00.000+0000,0.02,0,163555003,3011664519.96552,29,0.02,0,163575811,3154068593,0.02,0,163545535,2948314862,0.58,0,4743095087,87338271079
1,2,2024-12-23 12:00:00.000+0000,0.02,0,163589293.878049,3248683913.19512,41,0.02,0,163606609,3367981240,0.02,0,163576855,3161558390,0.82,0,6707161049,133196040441
1,2,2024-12-23 14:00:00.000+0000,0.0129113924051,0,163661742.772152,3707324891.49367,79,0.02,0,163669771,3760377132,0.01,0,163659070,3690376512,1.02,0,12929277679,292878666428
1,2,2024-12-23 15:00:00.000+0000,0.01,0,163686279.25,3867390517.69643,56,0.01,0,163701091,3960681774,0.01,0,163670815,3767755633,0.56,0,9166431638,216573868991
1,2,2024-12-23 18:00:00.000+0000,0.2422222222222,0,163790614,75734456,18,0.26,0,163795051,91081058,0.23,0,163786177,60657765,4.36,0,2948231052,1363220208
1,2,2024-12-24 10:00:00.000+0000,0.0526086956522,0,164284426,916191410.5,46,0.06,0,164296171,973760233,0.05,0,164272681,867436795,2.42,0,7557083596,42144804883
1,2,2024-12-24 11:00:00.000+0000,0.0477966101695,0,164312353,1071135366.13559,59,0.05,0,164327491,1161399358,0.04,0,164297215,980551866,2.82,0,9694428827,63196986602
1,3,2024-12-18 11:00:00.000+0000,0.01,0,38580362,3124336689.45238,42,0.01,0,38591104,3192837974,0.01,0,38569620,3056982925,0.42,0,1620375204,131222140957
1,3,2024-12-18 15:00:00.000+0000,0,0,38705860,3816941604.46512,43,0,0,38716864,3891433540,0,0,38694856,3742513484,0,0,1664351980,164128488992
1,3,2024-12-19 10:00:00.000+0000,0.02,0,39302268.826087,799108120.217391,46,0.02,0,39314224,861557163,0.02,0,39290382,743139344,0.92,0,1807904366,36758973530
1,3,2024-12-19 11:00:00.000+0000,0.02,0,39330299.2542373,970645585.627119,59,0.02,0,39345664,1073194115,0.02,0,39315010,868386078,1.18,0,2320487656,57268089552
1,3,2024-12-19 13:00:00.000+0000,0.01,0,39393524.4482759,1422251965.22414,58,0.01,0,39409113,1517684294,0.01,0,39377890,1313212127,0.58,0,2284824418,82490613983
1,3,2024-12-19 17:00:00.000+0000,0.01,0,39529682.9047619,2325289879.14286,21,0.01,0,39534873,2351307842,0.01,0,39524393,2297342609,0.21,0,830123341,48831087462
